Program Name,University,Degree,Grade Range,Experiential Learning,Enrollment,Instruction Language
Business Economics (BA),York University,"Bachelor of Arts, BA",Mid-70s,Co-op or internship option available,170										Open,English
Business Economics (Courses in English or French as per student's preference),York University – Glendon Campus,"Bachelor of Arts, BA
International Bachelor of Arts, iBA",Mid- to high 70s,Practicum or internship option available,400										(total for all programs),English & French
Business I,McMaster University,"Bachelor of Commerce, BComm
Bachelor of Commerce, BCom",High 80s to low 90s,Co-op or internship application available at the university after registration,800,English
Business Management (Honours),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Commerce, BComm",High 70s,Co-op option available with this program,"1,615										(total for all Business Management programs)",English
Business Management Co-op (Honours),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Commerce, BComm",High 70s,Co-op program,"1,615										(total for all Business Management programs)",English
Business Technology Management (BBTM) NOTE: This Milton program is pending Laurier Senate approval.,Wilfrid Laurier University – Milton Campus,"Bachelor of Business Technology Management, BBTM",High 70s,Co-op option available with this program,122										(Lazaridis School of Business & Economics on the Brantford campus),English
Business Technology Management (Honours),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Commerce, BComm",Mid 80s,Co-op option available with this program,600										(total for all Business Technology Management programs),English
Business Technology Management Co-op (Honours),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Commerce, BComm",Mid 80s,Not Available,600										(total for all Business Technology Management programs),English
Business and Arts,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Business and Computing & Information Systems,Trent University – Durham Greater Toronto Area,"Bachelor of Science, BSc",70%,Practicum or internship option available,200,English
Business and Science,Trent University,"Bachelor of Science, BSc",70% minimum,Practicum or internship option available,200										(total for Arts and Science),English
Business and Society (BA),Ontario Tech University,"Bachelor of Arts, BA",Low 70s,Practicum or internship option available,N/A,English
Business and Society (Co-op),Ontario Tech University,"Bachelor of Arts, BA",low 70s,Co-op program,N/A,English
Cultural Studies and Business,Trent University,"Bachelor of Arts, BA",Minimum 70%,Practicum or internship option available,200,English
Canadian Studies,Brock University,"Bachelor of Arts, BA",Mid-70s,Not Available,618										(total for all Humanities programs),English
Canadian Studies,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Canadian Studies (Honours Arts) – Co-op,Trent University,"Bachelor of Arts, BA",Eighty to eighty-five percent,Co-op program,50										Fifty,English
Canadian Studies and Business,Trent University,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Certificate in Spanish - Peterborough Campus,Trent University,"N/A, N/A",Other Criteria,Not Available,50,English
Chemical & Physical Sciences I,McMaster University,"Bachelor of Science, BSc
Bachelor of Science/Bachelor of Applied Science, BSc/BASc",Mid- to high 80s,Co-op available by major,100,English
Chemical Biology,Ontario Tech University,"Bachelor of Science, BSc
Bachelor of Science and Management, BSc&Mgt",Low 70s,Co-op option available with this program,300,English
Chemical Biology (Co-op),Ontario Tech University,"Bachelor of Science (Co-op), BSc (Co-op)
Bachelor of Science & Management (Co-op), BSc&Mgt (Co-op)",Low 70s,Co-op program,300,English
Chemical Engineering,University of Toronto,"Bachelor of Applied Science, BASc",High 80s,Co-op or internship option available,N/A,English
Chemical Engineering (4 years),University of Ottawa,"Bachelor of Applied Science, BASc
Bachelor of Engineering (Co-op), BEng (Co-op)",80%,Co-op option available with this program,105										Maximum enrollment in all the Chemical Engineering disciplines,English
Chemical Engineering (Co-op Only),University of Waterloo,"Bachelor of Applied Science, BASc",Mid- to High 80s,Co-op program,145,English
Chemical Engineering Co-op,Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Engineering, BEng",Low 80s,Co-op program,78,English
Chemical Engineering and Computing Technology (5-year double degree),University of Ottawa,"Bachelor of Engineering (Co-op), BEng (Co-op)
Bachelor of Science/Bachelor of Applied Science, BSc/BASc",80%,Co-op option available with this program,86										Maximum enrollment in all the Chemical Engineering disciplines,English
Chemical Engineering: Trent/Swansea Dual Degree,Trent University,"Bachelor of Engineering, BEng
Bachelor of Science, BSc",80% minimum,Practicum or internship option available,200,English
Chemical Physics,Trent University,"Bachelor of Science, BSc",70% minimum,Practicum or internship option available,200,English
Chemical and Physical Sciences,University of Toronto Mississauga,"Bachelor of Science, BSc",Mid to high 70s,Co-op or internship application available at the university after registration,150,English
Chemistry,Ontario Tech University,"Bachelor of Science, BSc
Bachelor of Science and Management, BSc&Mgt",Low 70s,Co-op option available with this program,300,English
Chemistry,Trent University,"Bachelor of Science, BSc",70% minimum,Practicum or internship option available,200,English
Chemistry,University of Windsor,"Bachelor of Science, BSc",70–87%,Co-op or internship application available at the university after registration,No limit,English
Chemistry,Brock University,"Bachelor of Science, BSc
Bachelor of Science/Bachelor of Education, BSc/BEd",Mid-70s,Co-op program,516										(total for all Mathematics and Science programs),English
Chemistry,Laurentian University,"Bachelor of Science, BSc",70%,Co-op or internship application available at the university after registration,Open,English
Chemistry & Physics (BSc),Wilfrid Laurier University,"Bachelor of Science, BSc",Low-90s,Co-op or internship application available at the university after registration,"7,863										(all Faculty of Science programs combined)",English
Chemistry (4 years) (French Immersion Stream is available),University of Ottawa,"Bachelor of Science, BSc
Bachelor of Science (Co-op), BSc (Co-op)",+/- 78%; co-op 80%,Co-op option available with this program,38,English
Chemistry (BSc),York University,"Bachelor of Science, BSc",High 70s to mid-80s,Co-op option available with this program,60										Open,English
Chemistry (BSc),Wilfrid Laurier University,"Bachelor of Science, BSc",High-80s,Co-op or internship application available at the university after registration,"7,863										(all Faculty of Science programs combined)",English
Chemistry (Co-op),Ontario Tech University,"Bachelor of Science (Co-op), BSc (Co-op)
Bachelor of Science & Management (Co-op), BSc&Mgt (Co-op)",Low 70s,Co-op program,300,English
Chemistry (Honours) (Co-op Available),Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Science, BSc",Low 70s,Co-op available by application after first year of studies,70,English
Chemistry (includes Medical Sciences) (Thunder Bay),Lakehead University,"Bachelor of Science, BSc",70%,Not Available,Open Enrollment,English
Child & Youth Studies & Sociology,Trent University – Durham Greater Toronto Area,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Child Health,Brock University,"Bachelor of Arts, BA",Mid-70s,Not Available,817										(total all Applied Health Sciences programs),English
Child Studies,University of Guelph,"Bachelor of Applied Science, BASc",79 to 84%,Practicum or internship option available,N/A,English
Child and Youth Care,Toronto Metropolitan University (formerly Ryerson University),"Bachelor of Arts, BA",Low 70s,Practicum or internship option available,105,English
Child and Youth Studies,Trent University – Durham Greater Toronto Area,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Child and Youth Studies,Brock University,"Bachelor of Arts, BA
Bachelor of Arts/Bachelor of Education, BA/BEd",High 70s,Practicum or internship option available,"1,364										(total for all Social Science programs)",English
Child and Youth Studies & Psychology,Trent University – Durham Greater Toronto Area,"Bachelor of Arts, BA",70% minimum,Practicum or internship option available,200,English
Childhood and Youth Studies,Western University – King's University College,"Bachelor of Arts, BA",80%,Class-based experiential education,60,English
"Children, Childhood & Youth (BA)",York University,"Bachelor of Arts, BA",Mid-70s,Practicum or internship option available,140										Open,English
"Christianity, Interfaith Dialogue and Community Engagement (BA)",Wilfrid Laurier University,"Bachelor of Arts, BA",Mid-70s,Practicum or internship option available,186										(all Martin Luther University College programs combined),English
Cinema & Media Arts (BA),York University,"Bachelor of Arts, BA",Mid-70s,Class-based experiential education,40,English
Cinema & Media Arts - Media Arts (BFA),York University,"Bachelor of Fine Arts, BFA",Mid-80s,Practicum or internship option available,25,English
Cinema & Media Arts - Production (BFA),York University,"Bachelor of Fine Arts, BFA",Low 80s,Practicum or internship option available,150,English
